"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Aarakocra Aeromancer","MM'25","10","Medium","Elemental","neutral","16","66 (12d8 + 12)","20 ft., Fly 50 ft.","10","16","12","13","17","12","Dex +5, Wis +5","Arcana +3, Nature +5, Perception +7","","","","","passive Perception 17","Aarakocra, Primordial (Auran)","4 (XP 1,100; PB +2)","","Multiattack. The aarakocra makes two Wind Staff attacks, and it can use Spellcasting to cast Gust of Wind.
Spellcasting. The aarakocra casts one of the following spells, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 13):At will: Elementalism, Gust of Wind, Mage Hand, Message1/day: Lightning Bolt
Wind Staff. Melee or Ranged Attack Roll: +5, reach 5 ft. or range 120 ft. Hit: 7 (1d8 + 3) Bludgeoning damage plus 11 (2d10) Lightning damage.","","Feather Fall (1/Day). The aarakocra casts Feather Fall in response to that spell's trigger, using the same spellcasting ability as Spellcasting.","","","","","Mountain, Planar (Elemental Plane of Air)","Individual, Implements"
"Aarakocra Skirmisher","MM'25","10","Medium","Elemental","neutral","12","11 (2d8 + 2)","20 ft., Fly 50 ft.","10","14","12","11","12","11","","Perception +5","","","","","passive Perception 15","Aarakocra, Primordial (Auran)","1/4 (XP 50; PB +2)","","Talons. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Slashing damage, or 9 (3d4 + 2) Slashing damage if the aarakocra moved 30+ feet straight toward the target immediately before the hit.
Wind Javelin. Melee or Ranged Attack Roll: +4, reach 5 ft. or range 30/120 ft. Hit: 5 (1d6 + 2) Piercing damage plus 2 (1d4) Thunder damage. Hit or Miss: The javelin magically returns to the aarakocra's hand immediately after a ranged attack.","","","","","","","Mountain, Planar (Elemental Plane of Air)","Individual, Implements"
"Aberrant Cultist","MM'25","86","Small or Medium","Humanoid","neutral evil","14","137 (25d8 + 25)","30 ft.","10","19","12","16","18","15","Int +6, Wis +7","Arcana +6, Perception +7, Religion +6","","","","","Darkvision 90 ft., passive Perception 17","Common, Deep Speech; telepathy 30 ft.","8 (XP 3,900; PB +3)","","Multiattack. The cultist makes two Tentacle Lash attacks. It can replace any attack with a use of Mind Rot.
Spellcasting. The cultist casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 15):At will: Detect Thoughts, Minor Illusion
Tentacle Lash. Melee Attack Roll: +7, reach 10 ft. Hit: 7 (1d6 + 4) Slashing damage plus 14 (4d6) Psychic damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of two tentacles, and it has the Restrained condition until the grapple ends.
Mind Rot. Wisdom Saving Throw: DC 15, one creature the cultist can see within 90 feet. Failure: 27 (6d8) Psychic damage, and the target has the Poisoned condition until the start of the cultist's next turn. Success: Half damage only.","","Counterspell (2/Day). The cultist casts Counterspell in response to that spell's trigger, using the same spellcasting ability as Spellcasting.","","","","","Any","Individual, Relics"
"Aberrant Spirit","PHB'24","322","Medium","Aberration","neutral","11 + the spell's level","40 + 10 for each spell level above 4","30 ft., Fly 30 ft. (hover; Beholderkin only)","16","10","15","16","10","6","","","","","psychic","","Darkvision 60 ft., passive Perception 10","Deep Speech, understands the languages you know","None (XP 0; PB equals your Proficiency Bonus)","Regeneration (Slaad Only). The spirit regains 5 Hit Points at the start of its turn if it has at least 1 Hit Point.
Whispering Aura (Mind Flayer Only). At the start of each of the spirit's turns, the spirit emits psionic energy if it doesn't have the Incapacitated condition. Wisdom Saving Throw: DC equals your spell save DC, each creature (other than you) within 5 feet of the spirit. Failure: 2d6 Psychic damage.","Multiattack. The spirit makes a number of attacks equal to half this spell's level (round down).
Claw (Slaad Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d10 + 3 + the spell's level Slashing damage, and the target can't regain Hit Points until the start of the spirit's next turn.
Eye Ray (Beholderkin Only). Ranged Attack Roll: Bonus equals your spell attack modifier, range 150 ft. Hit: 1d8 + 3 + the spell's level Psychic damage.
Psychic Slam (Mind Flayer Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d8 + 3 + the spell's level Psychic damage.","","","","","","","",""
"Aboleth","MM'25","12","Large","Aberration","lawful evil","17","150 (20d10 + 40)","10 ft., Swim 40 ft.","21","9","15","18","15","18","Dex +3, Con +6, Int +8, Wis +6","History +12, Perception +10","","","","","Darkvision 120 ft., passive Perception 20","Deep Speech; telepathy 120 ft.","10 (XP 5,900, or 7,200 in lair; PB +4)","Amphibious. The aboleth can breathe air and water.
Eldritch Restoration. If destroyed, the aboleth gains a new body in 5d10 days, reviving with all its Hit Points in the Far Realm or another location chosen by the DM.
Legendary Resistance (3/Day, or 4/Day in Lair). If the aboleth fails a saving throw, it can choose to succeed instead.
Mucus Cloud. While underwater, the aboleth is surrounded by mucus. Constitution Saving Throw: DC 14, each creature in a 5-foot Emanation originating from the aboleth at the end of the aboleth's turn. Failure: The target is cursed. Until the curse ends, the target's skin becomes slimy, the target can breathe air and water, and it can't regain Hit Points unless it is underwater.While the cursed creature is outside a body of water, the creature takes 6 (1d12) Acid damage at the end of every 10 minutes unless moisture is applied to its skin before those minutes have passed.
Probing Telepathy. If a creature the aboleth can see communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires.","Multiattack. The aboleth makes two Tentacle attacks and uses either Consume Memories or Dominate Mind if available.
Tentacle. Melee Attack Roll: +9, reach 15 ft. Hit: 12 (2d6 + 5) Bludgeoning damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of four tentacles.
Consume Memories. Intelligence Saving Throw: DC 16, one creature within 30 feet that is Charmed or Grappled by the aboleth. Failure: 10 (3d6) Psychic damage. Success: Half damage. Failure or Success: The aboleth gains the target's memories if the target is a Humanoid and is reduced to 0 Hit Points by this action.
Dominate Mind (2/Day). Wisdom Saving Throw: DC 16, one creature the aboleth can see within 30 feet. Failure: The target has the Charmed condition until the aboleth dies or is on a different plane of existence from the target. While Charmed, the target acts as an ally to the aboleth and is under its control while within 60 feet of it. In addition, the aboleth and the target can communicate telepathically with each other over any distance.The target repeats the save whenever it takes damage as well as after every 24 hours it spends at least 1 mile away from the aboleth, ending the effect on itself on a success.","","","Lash. The aboleth makes one Tentacle attack.
Psychic Drain. If the aboleth has at least one creature Charmed or Grappled, it uses Consume Memories and regains 5 (1d10) Hit Points.","","","The region containing an aboleth's lair is warped by it, creating the following effects:Foul Water. Water sources within 1 mile of the lair are supernaturally fouled. Creatures other than the aboleth and its allies that drink such water must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 1 hour.Psionic Projection. While in its lair, the aboleth can cast Project Image, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 16). When casting the spell this way, the spell's range is 1 mile, and the aboleth can use its telepathy as if it were in the illusion's space.If the aboleth dies or moves its lair elsewhere, these effects end immediately.","Underdark, Underwater","Relics"
"Abominable Yeti","MM'25","340","Huge","Monstrosity","chaotic evil","15","137 (11d12 + 66)","40 ft., Climb 40 ft.","24","10","22","9","13","9","","Perception +9, Stealth +8","","","cold","","Darkvision 60 ft., passive Perception 19","Yeti","9 (XP 5,000; PB +4)","Fear of Fire. If the yeti takes Fire damage, it has Disadvantage on attack rolls and ability checks until the end of its next turn.","Multiattack. The yeti can use its Chilling Gaze and makes two attacks, using Claw or Ice Throw in any combination.
Claw. Melee Attack Roll: +11, reach 5 ft. Hit: 14 (2d6 + 7) Slashing damage plus 7 (2d6) Cold damage.
Ice Throw. Ranged Attack Roll: +11, range 60/240 ft. Hit: 12 (2d4 + 7) Bludgeoning damage plus 7 (2d6) Cold damage.
Chilling Gaze. Constitution Saving Throw: DC 18, one creature the yeti can see within 30 feet. Failure: 21 (6d6) Cold damage, and the target has the Paralyzed condition until the start of the yeti's next turn unless the target has Immunity to Cold damage. Success: The target is immune to this yeti's Chilling Gaze for 1 hour.
Cold Breath (Recharge 6). Constitution Saving Throw: DC 18, each creature in a 30-foot Cone. Failure: 45 (10d8) Cold damage. Success: Half damage.","","","","","","","Arctic","Any"
"Adult Black Dragon","MM'25","39","Huge","Dragon (Chromatic)","chaotic evil","19","195 (17d12 + 85)","40 ft., Fly 80 ft., Swim 40 ft.","23","14","21","14","13","19","Dex +7, Wis +6","Perception +11, Stealth +7","","","acid","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 21","Common, Draconic","14 (XP 11,500, or 13,000 in lair; PB +5)","Amphibious. The dragon can breathe air and water.
Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast Melf's Acid Arrow (level 3 version).
Rend. Melee Attack Roll: +11, reach 10 ft. Hit: 13 (2d6 + 6) Slashing damage plus 4 (1d8) Acid damage.
Acid Breath (Recharge 5–6). Dexterity Saving Throw: DC 18, each creature in a 60-foot-long, 5-foot-wide Line. Failure: 54 (12d8) Acid damage. Success: Half damage.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17, +9 to hit with spell attacks):At will: Detect Magic, Fear, Melf's Acid Arrow (level 3 version)1/day each: Speak with Dead, Vitriolic Sphere","","","Cloud of Insects. Dexterity Saving Throw: DC 17, one creature the dragon can see within 120 feet. Failure: 22 (4d10) Poison damage, and the target has Disadvantage on saving throws to maintain Concentration until the end of its next turn. Failure or Success: The dragon can't take this action again until the start of its next turn.
Frightful Presence. The dragon uses Spellcasting to cast Fear. The dragon can't take this action again until the start of its next turn.
Pounce. The dragon can move up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient black dragon's lair is warped by its presence, creating the following effects:Acrid Haze. Odorous and stifling fog covers the area within 1 mile of the lair, rendering that area Lightly Obscured. Travel for creatures other than the dragon and its allies takes twice the usual time in that area.Foul Water. Water sources within 1 mile of the lair are supernaturally fouled. A creature that drinks such water must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 1 hour.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Swamp","Relics"
"Adult Blue Dragon","MM'25","49","Huge","Dragon (Chromatic)","lawful evil","19","212 (17d12 + 102)","40 ft., Burrow 30 ft., Fly 80 ft.","25","10","23","16","15","20","Dex +5, Wis +7","Perception +12, Stealth +5","","","lightning","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 22","Common, Draconic","16 (XP 15,000, or 18,000 in lair; PB +5)","Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast Shatter.
Rend. Melee Attack Roll: +12, reach 10 ft. Hit: 16 (2d8 + 7) Slashing damage plus 5 (1d10) Lightning damage.
Lightning Breath (Recharge 5–6). Dexterity Saving Throw: DC 19, each creature in a 90-foot-long, 5-foot-wide Line. Failure: 60 (11d10) Lightning damage. Success: Half damage.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 18):At will: Detect Magic, Invisibility, Mage Hand, Shatter1/day each: Scrying, Sending","","","Cloaked Flight. The dragon uses Spellcasting to cast Invisibility on itself, and it can fly up to half its Fly Speed. The dragon can't take this action again until the start of its next turn.
Sonic Boom. The dragon uses Spellcasting to cast Shatter. The dragon can't take this action again until the start of its next turn.
Tail Swipe. The dragon makes one Rend attack.","","","The region containing an adult or ancient blue dragon's lair is changed by its presence, creating the following effects:Sinkholes. Sinkholes form more frequently in the area within 1 mile of the lair. Whenever a creature in that area other than the dragon and its allies finishes a Long Rest, roll 1d20. On a 1, a sinkhole opens beneath the creature, and the creature must succeed on a DC 15 Dexterity saving throw or fall 2d4 × 10 feet into the sinkhole.Spiteful Storms. Dust devils and thunderstorms rage within 1 mile of the lair. The area is Lightly Obscured.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Coastal, Desert","Relics"
"Adult Brass Dragon","MM'25","55","Huge","Dragon (Metallic)","chaotic good","18","172 (15d12 + 75)","40 ft., Burrow 30 ft., Fly 80 ft.","23","10","21","14","13","17","Dex +5, Wis +6","History +7, Perception +11, Persuasion +8, Stealth +5","","","fire","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 21","Common, Draconic","13 (XP 10,000, or 11,500 in lair; PB +5)","Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of (A) Sleep Breath or (B) Spellcasting to cast Scorching Ray.
Rend. Melee Attack Roll: +11, reach 10 ft. Hit: 17 (2d10 + 6) Slashing damage plus 4 (1d8) Fire damage.
Fire Breath (Recharge 5–6). Dexterity Saving Throw: DC 18, each creature in a 60-foot-long, 5-foot-wide Line. Failure: 45 (10d8) Fire damage. Success: Half damage.
Sleep Breath. Constitution Saving Throw: DC 18, each creature in a 60-foot Cone. Failure: The target has the Incapacitated condition until the end of its next turn, at which point it repeats the save. Second Failure: The target has the Unconscious condition for 10 minutes. This effect ends for the target if it takes damage or a creature within 5 feet of it takes an action to wake it.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 16):At will: Detect Magic, Minor Illusion, Scorching Ray, Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell), Speak with Animals1/day each: Detect Thoughts, Control Weather","","","Blazing Light. The dragon uses Spellcasting to cast Scorching Ray.
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.
Scorching Sands. Dexterity Saving Throw: DC 16, one creature the dragon can see within 120 feet. Failure: 27 (6d8) Fire damage, and the target's Speed is halved until the end of its next turn. Failure or Success: The dragon can't take this action again until the start of its next turn.","","","The area containing an adult or ancient brass dragon's lair is altered by its presence, creating the following effects:Mirages. While in its lair, the dragon can cast Major Image, requiring no Material components and using the same spellcasting ability as its Spellcasting action. When casting the spell this way, the spell's range is 1 mile, and the dragon doesn't need to see the spot where the illusion appears.Refreshing Water. Water within 1 mile of the lair is magically refreshing. A creature that drinks such water gains 2d4 Temporary Hit Points, and the dragon is immediately aware of the creature's presence.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Desert","Arcana"
"Adult Bronze Dragon","MM'25","59","Huge","Dragon (Metallic)","lawful good","18","212 (17d12 + 102)","40 ft., Fly 80 ft., Swim 40 ft.","25","10","23","16","15","20","Dex +5, Wis +7","Insight +7, Perception +12, Stealth +5","","","lightning","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 22","Common, Draconic","15 (XP 13,000, or 15,000 in lair; PB +5)","Amphibious. The dragon can breathe air and water.
Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of (A) Repulsion Breath or (B) Spellcasting to cast Guiding Bolt (level 2 version).
Rend. Melee Attack Roll: +12, reach 10 ft. Hit: 16 (2d8 + 7) Slashing damage plus 5 (1d10) Lightning damage.
Lightning Breath (Recharge 5–6). Dexterity Saving Throw: DC 19, each creature in a 90-foot-long, 5-foot-wide Line. Failure: 55 (10d10) Lightning damage. Success: Half damage.
Repulsion Breath. Strength Saving Throw: DC 19, each creature in a 30-foot Cone. Failure: The target is pushed up to 60 feet straight away from the dragon and has the Prone condition.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17, +10 to hit with spell attacks):At will: Detect Magic, Guiding Bolt (level 2 version), Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell), Speak with Animals, Thaumaturgy1/day each: Detect Thoughts, Water Breathing","","","Guiding Light. The dragon uses Spellcasting to cast Guiding Bolt (level 2 version).
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.
Thunderclap. Constitution Saving Throw: DC 17, each creature in a 20-foot-radius Sphere centered on a point the dragon can see within 90 feet. Failure: 10 (3d6) Thunder damage, and the target has the Deafened condition until the end of its next turn.","","","The region containing an adult or ancient bronze dragon's lair is changed by its presence, creating the following effects:Buoying Currents. Creatures within 1 mile of the lair that lack a Swim Speed ignore the extra cost of movement while swimming.Sun and Storms. While in its lair, the dragon can cast Control Weather, requiring no Material components and using the same spellcasting ability as its Spellcasting action. When casting the spell this way, the dragon can control the weather within 1 mile of its lair, regardless if the dragon is inside or outside.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Coastal","Implements"
