Id,Title,Original title,Description,Published at,Created at,Updated at
29,Куница,Weasel,"**Куница**
*Крошечный зверь, без мировоззрения*

**КД** 13 
**Инициатива:** +3 (13)
**Хиты** 1 (1к4 - 1)
**Скорость** 30 фт., лазая 30 фт.

Навык - значение - мод - спас
Сил 3 -4 -4 
Лов 16 +3 +3 
Вын 8 -1 -1
Инт 2 -4 -4 
Мдр 12 +1 +1 
Хар 3 -4 -4

**Навыки** Акробатика + 5, Внимательность +3,
**Скрытность** +5
**Чувства** тёмное зрение 60 фт., ПВ 13
**Языки** —
**ПО** 0 (Опыт 10; БМ +2)

**Действия**
**Укус.** *Бросок рукопашной атаки:* +5 к попаданию, досягаемость 5 фт. *Попадание:* 1 колющего урона.",,2024-09-22 15:46:28 UTC,2024-09-23 07:31:12 UTC
28,Паук,Spider,"**Паук**
*Крошечный зверь, без мировоззрения*

**КД** 12 
**Инициатива:** +2 (12)
**Хиты** 1 (1к4 - 1)
**Скорость** 20 фт., лазая 20 фт.

Навык - значение - мод - спас
Сил 2 -4 -4 
Лов 14 +2 +2 
Вын 8 -1 -1
Инт 1 -5 -5 
Мдр 10 +0 +0 
Хар 2 -4 -4

**Навыки** Скрытность +4
**Чувства** тёмное зрение 30 фт., ПВ 9
**Языки** —
**ПО** 0 (Опыт 10; БМ +2)

**Особенности**
**Паучье лазание.** Паук может лазать по сложным поверхностям, включая потолки, без совершения проверок характеристик.
**Хождение по паутине.** Паук игнорирует ограничения перемещения, вызванные паутиной, и знает точное местоположение всех других существ, находящихся в контакте с той же паутиной.

**Действия**
**Укус.** *Бросок рукопашной атаки:* +3, досягаемость 5 фт. *Попадание:* 1 колющего урона и 2 (1к4) урона ядом.",,2024-09-22 15:46:18 UTC,2024-09-23 07:27:44 UTC
27,Ворон,Crow,"**Ворон**
*Крошечный зверь, без мировоззрения*

**КД** 12 
**Инициатива:** +2 (12)
**Хиты** 2 (1к4)
**Скорость** 10 фт., летая 50 фт.

Навык - значение - мод - спас
Сил 2 -4 -4 
Лов 14 +2 +2 
Вын 10 +0 +0
Инт 5 -3 -3 
Мдр 13 +1 +1 
Хар 6 -2 -2

**Навыки** Внимательность +3
**Чувства** ПВ 13
**Языки** —
**ПО** 0 (Опыт 10; БМ +2)

**Особенности**
**Мимикрия.** Ворон может имитировать простые звуки, которые он слышал (например, шепот или звуки животных). Слушатель может определить, что звук является имитацией, после успшеной проверки Мудрость (Проницательность) Сл 10.

**Действия**
**Когти.** *Бросок рукопашной атаки:* +4, досягаемость 5 фт. *Попадание:* 1 дробящего урона.",,2024-09-22 15:46:10 UTC,2024-09-23 07:25:10 UTC
26,Крыса,Rat,"**Крыса**
*Крошечный зверь, без мировоззрения*

**КД** 10 
**Инициатива:** +0 (10)
**Хиты** 1 (1к4 - 1)
**Скорость** 20 фт., лазая 20 фт.

Навык - значение - мод - спас
Сил 2 -4 -4 
Лов 11 +0 +0 
Вын 9 -1 -1
Инт 2 -4 -4 
Мдр 10 +0 +0 
Хар 4 -3 -3

**Навыки** Внимательность +2
**Чувства** тёмное зрение 30 фт., ПВ 12
**Языки** —
**ПО** 0 (Опыт 10; БМ +2)

**Особенности**
**Ловкий.** Крыса не вызывает пропоцированные атаки, когда выходит из досягаемости врага.

**Действия**
**Укус.** *Бросок рукопашной атаки:* +2, досягаемость 5 фт. *Попадание:* 1 колющий урон.",,2024-09-22 15:46:03 UTC,2024-09-23 07:22:50 UTC
25,Сова,Owl,"**Сова**
*Крошечный зверь, без мировоззрения*

**КД** 11 
**Инициатива:** +1 (11)
**Хиты** 1 (1к4 - 1)
**Скорость** 5 фт., летая 60 фт.

Навык - значение - мод - спас
Сил 3 -4 -4 
Лов 13 +1 +1 
Вын 8 -1 -1
Инт 2 -4 -4 
Мдр 12 +1 +1 
Хар 7 -2 -2

**Навыки** Внимательность +5, Скрытность +5
**Чувства** тёмное зрение 120 фт., ПВ 15
**Языки** —
**ПО** 0 (Опыт 10; БМ +2)

**Особенности**
**Облёт.** Сова не вызывает провоцированные атаки, когда вылетает из досягаемости врага.

**Действия**
**Когти.** *Бросок рукопашной атаки:* +3, досягаемость 5 фт. *Попадание:* 1 режущего урона.",,2024-09-22 15:45:53 UTC,2024-09-23 07:20:49 UTC
24,Осьминог,Octopus,"**Осьминог**
*Маленький зверь, без мировоззрения*

**КД** 12 
**Инициатива:** +2 (12)
**Хиты** 3 (1к6)
**Скорость** 5 фт., плавая 30 фт.

Навык - значение - мод - спас
Сил 4 -3 -3 
Лов 15 +2 +2 
Вын 11 +0 +0
Инт 3 -4 -4 
Мдр 10 +0 +0 
Хар 4 -3 -3

**Навыки** Внимательность +2, Скрытность +6
**Чувства** слепое зрение 60 фт., ПВ 12
**Языки** —
**ПО** 0 (Опыт 10; БМ +2)

**Особенности**
**Аморфный.** Осьминог может перемещаться сквозь пространство шириной не менее 1 дюйма без протискивания.
**Подводное дыхание.** Осьминог может дышать только под водой.

**Действия**
**Щупальца.** *Бросок рукопашной атаки:* +4, досягаемость 5 фт. *Попадание:* 1 дробящего урона.

**Реакция** 
**Чернильное облако (1/день).** *Триггер:* существо заканчивает свой ход в досягаемости 4 футов около осьминога под водой. *Действие:* осьминог выпускает чернила, которые заполняют 5 футовый куб с центром вокруг себя и осьминог перемещается со своей скоростью плавания. Куб является сильно заслонённой местностью в течении 1 минуты или до тех пор, пока сильное течение или другой подобный эффект не рассеют чернила.",,2024-09-22 15:45:44 UTC,2024-09-22 18:38:22 UTC
23,Ящерица,Lizard,"**Ящерица**
*Крошечный зверь, без мировоззрения*

**КД** 10 
**Инициатива:** +0 (10)
**Хиты** 2 (1к4)
**Скорость** 20 фт., лазая 20 фт.

Навык - значение - мод - спас
Сил 2 -4 -4 
Лов 11 +0 +0 
Вын 10 +0 +0
Инт 1 -5 -5 
Мдр 8 -1 -1 
Хар 3 -4 -4

**Чувства** тёмное зрение 30 фт., ПВ 9
**Языки** —
**ПО** 0 (Опыт 10; БМ +2)

**Особенности**
**Паучье лазание.** Ящерица может лазать по сложным поверхностям, включая потолки, без совершения проверок характеристик.

**Действия**
**Укус.** *Бросок рукопашной атаки:* +2, досягаемость 5 фт. *Попадание:* 1 колющего урона.",,2024-09-22 15:45:32 UTC,2024-09-22 16:04:05 UTC
22,Ястреб,Hawk,"**Ястреб**
*Крошечный зверь, без мировоззрения*

**КД** 13 
**Инициатива:** +3 (13)
**Хиты** 1 (1к4 - 1)
**Скорость** 10 фт., летая 60 фт.

Навык - значение - мод - спас
Сил 5 -3 -3 
Лов 16 +3 +3 
Вын 8 -1 -1
Инт 2 -4 -4 
Мдр 14 +2 +2 
Хар 6 -2 -2

**Навыки** Внимательность +6
**Чувства** ПВ 16
**Языки** —
**ПО** 0 (Опыт 10; БМ +2)

**Действия**
**Когти.** *Бросок рукопашной атаки:* +5 к попаданию, досягаемость 5 фт. *Попадание:* 1 режушего урона.",,2024-09-22 15:45:23 UTC,2024-09-22 16:01:43 UTC
21,Лягушка,Frog,"**Лягушка**
*Крошечный зверь, без мировоззрения*

**КД** 11 
**Инициатива:** +1 (11)
**Хиты** 1 (1к4 - 1)
**Скорость** 20 фт., плавая 20 фт.

Навык - значение - мод - спас
Сил 1 -5 -5 
Лов 13 +1 +1 
Вын 8 -1 -1
Инт 1 -5 -5 
Мдр 8 -1 -1 
Хар 3 -4 -4

**Навыки** Внимательность +1, Скрытность +3
**Чувства** тёмное зрение 30 фт., ПВ 11
**Языки** —
**ПО** 0 (Опыт 10; БМ +2)

**Особенности**
**Амфибия.** Лягушка может дышать и на суше, и под водой.
**Прыжок с месте.** Лягушка совершает прыжки в длину на расстояние до 10 футов и прыжки в высоту на расстояние до 5 футов, хоть с разбегом, хоть без него.

**Действия**
**Укус.** *Бросок рукопашной атаки:* +3, досягаемость 5 фт. *Попадание:* 1 колющего урона.",,2024-09-22 15:45:00 UTC,2024-09-22 15:56:27 UTC
20,Дух зверя,"","**Дух зверя**
*Маленький зверь, нейтральный*

**Хиты** 20 (только воздух) или 30 (только земля и вода) + 5 за каждый уровень заклинания выше 2
**Скорость** 30 фт.; лазая 30 фт. (только земля); летая 60 фт. (только воздух); плавая 30 фт. (только вода)

Навык - значение - мод - спас
Сил 18 +4 +4
Лов 11 +0 +0
Вын 16 +3 +3
Инт 4 -3 -3
Мдр 14 +2 +2
Хар 5 -3 -3

**Чувства** тёмное зрение 60 фт., ПВ 12
**Языки** понимает известные вам языки
**ПО** — (Опыт 0; БМ равен вашему БМ)

**Особенности**
**Облёт (только воздух).** Дух не провоцирует атаки, когда вылетает из досягаемости врага.
**Тактика стаи (только земля и вода).** Дух совершает с преимуществом броски атаки по существу, если в пределах 5 футов от этого существа находится как минимум один союзник духа без состояния недееспособный.
**Подводное дыхание (только вода).** Дух может дышать только под водой.

**Действия**
**Мультиатака.** Дух совершает количество атак Рвать, равное половине уровня этого заклинания (округлить в меньшую сторону).
**Рвать**. *Бросок рукопашной атаки:* Бонус равен вашему модификатору атаки заклинанием, досягаемость 5 фт. Попадание: 1к8 + 4 + уровень заклинания колющего урона.",,2024-09-21 12:32:14 UTC,2024-09-21 12:32:14 UTC
