Id,Title,Original title,Description,Category,Published at,Created at,Updated at
74,Дар истинного зрения,"","*Требование: 19-й уровень и выше*
Вы получаете следующие эффекты:
**Повышение характеристики.** Увеличьте показатель одной вашей характеристики по выбору на 1, максимум до 30.
**Истинное зрение.** Вы получаете истинное зрение с радиусом 60 футов.",epic_boon,2024-09-25 18:18:10 UTC,2024-09-25 18:18:01 UTC,2024-09-25 18:18:10 UTC
73,Дар духа ночи,"","*Требование: 19-й уровень и выше*
Вы получаете следующие эффекты:
**Повышение характеристики.** Увеличьте показатель одной вашей характеристики по выбору на 1, максимум до 30.
**Слияние с тенями.** Находясь в тусклом свете или темноте, вы можете дать себе состояние невидимый бонусным действием. Состояние заканчивается сразу после того, как вы совершаете действие, бонусное действие или реакцию.
**Теневая форма.** Находясь в тусклом свете или тьмы вы получаете сопротивление всему урону, кроме психического и излучением.",epic_boon,2024-09-25 18:18:10 UTC,2024-09-25 18:17:40 UTC,2024-09-25 18:18:10 UTC
72,Дар восстановления чар,"","*Требование: 19-й уровень и выше, умение Использование заклинаний или Магия договора*
Вы получаете следующие эффекты:
**Повышение характеристики.** Увеличьте свой показатель Интеллекта, Мудрости или Хиразмы на 1, максимум до 30.
**Свободное Заклинание.** Когда вы накладываете заклинание, используя ячейку заклинания 1-4 уровня, то бросьте к4. Если выпавшее число совпадает с уровнем ячейки, то ячейка не расходуется.",epic_boon,2024-09-25 18:18:10 UTC,2024-09-25 18:17:14 UTC,2024-09-25 18:18:10 UTC
71,Дар скорости,"","*Требование: 19-й уровень и выше*
Вы получаете следующие эффекты:
**Повышение характеристики.** Увеличьте показатель одной вашей характеристики по выбору на 1, максимум до 30.
**Мастер побега.** Бонусным действием вы можете совершить действие отход, которое также снимает с вас состояние схваченный.
**Скорость.** Ваша скорость увеличивается на 30 футов.",epic_boon,2024-09-25 18:18:10 UTC,2024-09-25 18:16:50 UTC,2024-09-25 18:18:10 UTC
70,Дар навыка,"","*Требование: 19-й уровень и выше*
Вы получаете следующие эффекты:
**Повышение характеристики.** Увеличьте показатель одной вашей характеристики по выбору на 1, максимум до 30.
**Всесторонний мастер.** Вы получаете владение всеми навыками.
**Компетентность.** Выберите один навык, в котором у вас нет компетентности. Вы получаете компетентность в этом навыке.",epic_boon,2024-09-25 18:18:10 UTC,2024-09-25 18:16:16 UTC,2024-09-25 18:18:10 UTC
69,Дар восстановления,"","*Требование: 19-й уровень и выше*
Вы получаете следующие эффекты:
**Повышение характеристики.** Увеличьте показатель одной вашей характеристики по выбору на 1, максимум до 30.
**Последний рубеж.** Когда ваши хиты должны быть снижены до 0, то вы можете опустить их до 1 хита вместо этого и восстановить количество хитов, равное половине вашего максимума хитов. После использования этого эффекта вы не можете использовать его снова, пока не завершите продолжительный отдых.
**Восстановление жизненных сил.** У вас есть резерв из 10 к10. Вы можете использовать кости из резерва бонусным действием, бросить эти кости и восстановить количество хитов, равное сумме бросков. Вы восстанавливаете все использованные кости из резерва после завершения продолжительного отдыха.",epic_boon,2024-09-25 18:18:10 UTC,2024-09-25 18:15:50 UTC,2024-09-25 18:18:10 UTC
68,Дар непреодалимого нападения,"","*Требование: 19-й уровень и выше*
Вы получаете следующие эффекты:
**Повышение характеристики.** Увеличьте свой показатель Ловкости или Силы на 1, максимум до 30.
**Преодоление защиты.** Дробящий, колющий и рубящий урон, который вы наносите, всегда игнорирует сопротивление.
**Преодолевающий удар.** Когда вы выбрасываете 20 на к20 для броска атаки, то вы можете нанести дополнительный урон цели, равный характеристике, увеличенной этим даром. Тип дополнительного урона соответствует типу атаки.",epic_boon,2024-09-25 18:18:10 UTC,2024-09-25 18:15:18 UTC,2024-09-25 18:18:10 UTC
67,Дар стойкости,"","*Требование: 19-й уровень и выше*
Вы получаете следующие эффекты:
**Повышение характеристики.** Увеличьте показатель одной вашей характеристики по выбору на 1, максимум до 30.
**Укреплённое здоровье.** Ваш максимум хитов увеличивается на 40. Кроме того, всякий раз, когда вы восстанавливаете хиты, вы можете восстановить дополнительные хиты, равные вашему модификатору Телосложения. После восстановления этих дополнительных Хитов вы не можете делать это снова до начала вашего следующего хода.",epic_boon,2024-09-25 18:18:10 UTC,2024-09-25 18:14:40 UTC,2024-09-25 18:18:10 UTC
66,Дар судьбы,"","*Требование: 19-й уровень и выше*
Вы получаете следующие эффекты:
**Повышение характеристики.** Увеличьте показатель одной вашей характеристики по выбору на 1, максимум до 30.
**Улучшение судьбы.** Когда вы или другое существо в пределах 60 футов от вас успешно проходит или проваливает D20 Тест, то вы можете бросить 2к4 и применить сумму как бонус или штраф к броску к20. После использования этого преимущества вы не можете использовать его снова, пока не бросите инициативу или не закончите короткий или продолжительный отдых.",epic_boon,2024-09-25 18:18:10 UTC,2024-09-25 18:14:12 UTC,2024-09-25 18:18:10 UTC
65,Дар устойчивости к энергиям,"","*Требование: 19-й уровень и выше*
Вы получаете следующие эффекты:
**Повышение характеристики.** Увеличьте показатель одной вашей характеристики по выбору на 1, максимум до 30.
**Устойчивость к энергиям.** Вы получаете сопротивление к двум из следующих типов урона на ваш выбор: кислотный, холодный, огненный, электрический, некротический, ядовитый, психической энергией, излучением или звуковой. Каждый раз, когда вы заканчиваете продолжительный отдых, то вы можете изменить свой выбор.
**Перенаправление энергии.** Когда вы получаете урон одного из типов, выбранных для эффекта Устойчивость к энергиям, то вы можете использовать реакцию, чтобы направить урон того же типа на другое существо, которое вы видите в пределах 60 футов от вас и которое не находится за полным укрытием. Если вы это делаете, то это существо должно преуспеть в спасброске Ловкости (Сл 8 + ваш модификатор Телосложения + Бонус мастерства) или получить урон, равный 2к12 + ваш модификатор Телосложения.",epic_boon,2024-09-25 18:18:10 UTC,2024-09-25 18:13:45 UTC,2024-09-25 18:18:10 UTC
