Title,Original Title,Category,Rarity,Attunement,Consumable,Charges,Cursed,Description,Price
Сапоги извилистого пути [UA24],BOOTS OF THE WINDING PATH,Чудесный предмет,Необычный,Требуется,Нет,Нет,Нет,"Пока вы носите эти ботинки, вы можете бонусным действием телепортироваться на расстояние до 15 футов в свободное пространство, которое вы видите. Вы должны были занимать это пространство в какой-то момент в течение текущего хода.",400 зм
Шлем бдительности [UA24],HELM OF AWARENESS,Чудесный предмет,Необычный,Требуется,Нет,Нет,Нет,"Пока вы носите этот шлем, вы совершаете броски инициативы с преимуществом.",400 зм
Усилитель разума [UA24],MIND SHARPENER,Кольцо,Необычный,Требуется,Нет,Да,Нет,"Этот предмет имеет 4 заряда. Когда вы проваливаете спасбросок Телосложения для поддержания концентрации, вы можете реакцией потратить 1 заряд предмета, чтобы вместо этого преуспеть. Предмет восстанавливает 1к4 потраченных зарядов ежедневно на рассвете.",400 зм
Излучающее свет оружие [UA24],RADIANT WEAPON,Оружие,Редкий,Требуется,Нет,Да,Нет,"Оружие (любое простое или воинское)

Это магическое оружие даёт бонус +1 к броскам
атаки и урона, совершённым с его помощью. Пока вы держите его, вы можете бонусным действием заставить его излучать яркий свет в радиусе 30 футов и тусклый свет на дополнительные 30 футов. Вы можете погасить свет с бонусным действием.

Оружие имеет 4 заряда. Вы можете реакцией сразу после того, как по вам попали атакой, потратить 1 заряд оружия и заставить атакующего совершить спасбросок Телосложения со Сл. 15. При провале атакующий получает состояние ослеплённый до конца своего следующего хода. Оружие восстанавливает 1к4 израсходованных зарядов ежедневно на рассвете.",4000 зм
Повторный выстрел [UA24],REPEATING SHOT,Оружие,Необычный,Требуется,Нет,Да,Нет,"Оружие (любое простое или воинское со свойством боеприпасы)

Это магическое оружие даёт бонус +1 к броскам атаки и урона при использовании для дальнобойной атаки, а также игнорирует свойство перезарядка, если оно имеется.

Если оружию не хватает боеприпасов, то оно создаёт
их само, автоматически производя 1 магический боеприпас, когда владелец совершает дальнобойную атаку
с его помощью. Созданный боеприпас исчезает сразу после того, как попадает или промахивается по цели.",400 зм
Отталкивающий щит [UA24],REPULSION SHIELD,Щит,Необычный,Не требуется,Нет,Да,Нет,"Вы получаете +1 к КД, пока используете этот щит.

Щит имеет 4 заряда. Пока вы держите его, вы можете реакцей сразу после попадания по вам рукопашной атакой потратить 1 заряд щита и оттолкнуть атакующего на расстояние до 15 футов. Щит восстанавливает 1к4 потраченных зарядов ежедневно на рассвете.",400 зм
Возвращающееся оружие [UA24],RETURNING WEAPON,Оружие,Необычный,Не требуется,Нет,Нет,Нет,"Оружие (любое простое или воинское со свойством метательное)

Это магическое оружие даёт бонус +1 к атакам и броскам урона, совершённым с его помощью, и возвращается к вашей руке сразу после использования для выполнения дальнобойной атаки.",400 зм
Кольцо восстановления заклинаний [UA24],SPELL-REFUELING RING,Кольцо,Необычный,Требуется заклинательная,Нет,Нет,Нет,"Пока вы носите это кольцо, вы можете восстановить 1 потраченную ячейку заклинаний бонусным действием. Восстановленная ячейка может быть 3 уровня или ниже. После использования кольцо нельзя использовать снова до следующего рассвета.",400 зм
Свиток заклинания (0),Spell Scroll (0),Свиток,Обычный,Не требуется,Да,Нет,Нет,"Свиток заклинаний содержит слова одного заклина-
ния, написанные мистическим шифром. Если закли-
нание есть в вашем списке заклинаний, вы можете
прочитать свиток и наложить это заклинание без ма-
териальных компонентов. В противном случае свиток
непонятен. Наложение заклинания чтением свитка
требует обычного времени наложения заклинания. По-
сле наложения заклинания свиток рассыпается в прах.
Если наложение прервано, свиток не теряется.
Если заклинание есть в вашем списке заклинаний,
но уровень заклинания выше, чем вы можете обычно
накладывать, то вы совершаете проверку заклинатель-
ной характеристики, чтобы определить, наложите ли
вы заклинание. Сл. равна 10 + уровень заклинания.
При неудаче заклинание исчезает со свитка без како-
го-либо другого эффекта.
Уровень заклинания на свитке определяет Сл.
спасброска от заклинания и бонус атаки, а также ред-
кость свитка, как показано в следующей таблице.
Уровень
заклинания Редкость Сложность
спасброска
Бонус
атаки
Заговор Обычный 13 +5
1 Обычный 13 +5
2 Необычный 13 +5
3 Необычный 15 +7
4 Редкий 15 +7
5 Редкий 17 +9
6 Очень редкий 17 +9
7 Очень редкий 18 +10
8 Очень редкий 18 +10
9 Легендарный 19 +11
Копирование свитка в книгу хзаклинаний.
Заклинание волшебника на Свитке заклинаний может
быть скопировано в книгу заклинаний. Когда закли-
нание копируется таким образом, переписчик должен
преуспеть в проверке Интеллекта (Аркана) со Сл. 10 +
уровень заклинания. При успешной проверке закли-
нание копируется. Независимо от успеха или провала
проверки, Свиток заклинания уничтожается.",30 зм
Свиток заклинания (1),Spell Scroll (1),Свиток,Обычный,Не требуется,Да,Нет,Нет,"Свиток заклинаний содержит слова одного заклина-
ния, написанные мистическим шифром. Если закли-
нание есть в вашем списке заклинаний, вы можете
прочитать свиток и наложить это заклинание без ма-
териальных компонентов. В противном случае свиток
непонятен. Наложение заклинания чтением свитка
требует обычного времени наложения заклинания. По-
сле наложения заклинания свиток рассыпается в прах.
Если наложение прервано, свиток не теряется.
Если заклинание есть в вашем списке заклинаний,
но уровень заклинания выше, чем вы можете обычно
накладывать, то вы совершаете проверку заклинатель-
ной характеристики, чтобы определить, наложите ли
вы заклинание. Сл. равна 10 + уровень заклинания.
При неудаче заклинание исчезает со свитка без како-
го-либо другого эффекта.
Уровень заклинания на свитке определяет Сл.
спасброска от заклинания и бонус атаки, а также ред-
кость свитка, как показано в следующей таблице.
Уровень
заклинания Редкость Сложность
спасброска
Бонус
атаки
Заговор Обычный 13 +5
1 Обычный 13 +5
2 Необычный 13 +5
3 Необычный 15 +7
4 Редкий 15 +7
5 Редкий 17 +9
6 Очень редкий 17 +9
7 Очень редкий 18 +10
8 Очень редкий 18 +10
9 Легендарный 19 +11
Копирование свитка в книгу хзаклинаний.
Заклинание волшебника на Свитке заклинаний может
быть скопировано в книгу заклинаний. Когда закли-
нание копируется таким образом, переписчик должен
преуспеть в проверке Интеллекта (Аркана) со Сл. 10 +
уровень заклинания. При успешной проверке закли-
нание копируется. Независимо от успеха или провала
проверки, Свиток заклинания уничтожается.",50 зм
