ID,Title,Original title,Description,Published at,Created at,Updated at
20,Широкая атака,Sweeping Attack,"**Широкая атака**

Если вы попадаете по существу рукопашной атакой оружием или безоружным ударом, то вы можете потратить одну кость превосходства, чтобы попытаться причинить урон другому существу этой же атакой. Выберите другое существо в пределах 5 футов от первоначальной цели и в пределах вашей досягаемости. Если исходный бросок атаки попадает по второму существу, то оно получает урон, равный броску кости превосходства. Урон будет того же вида, что и для исходной атаки.",2024-11-19 14:25:31 UTC,2024-11-19 14:25:25 UTC,2024-11-19 14:25:31 UTC
19,Удар командующего,Commander’s Strike,"**Удар командующего**

Когда вы выполняете действие атака в свой ход, вы можете заменить одну из ваших атак, чтобы направить одного из ваших компаньонов. Если вы это совершаете, то выберите компаньона, который может видеть или слышать вас, и потратьте одну кость превосходства. Это существо может немедленно совершить реакцией одну атаку оружием, добавив кость превосходства к броску урона этой атаки.",2024-11-19 14:25:31 UTC,2024-11-19 14:25:02 UTC,2024-11-19 14:25:31 UTC
18,Точная атака,Precision Attack,"**Точная атака**

Когда вы промахиваетесь броском атаки, вы можете потратить одну кость превосходства, бросить эту кость и добавить её к броску атаки, что потенциально может привести к попаданию атаки.",2024-11-19 14:25:31 UTC,2024-11-19 14:24:41 UTC,2024-11-19 14:25:31 UTC
17,Толкающая атака,Pushing Attack,"**Толкающая атака**

Когда вы попадаете по существу броском атаки, используя оружие или безоружный удар, то вы можете потратить одну кость превосходства, чтобы попытаться оттолкнуть цель. Добавьте кость превосходства к броску урона этой атаки. Если цель большого размера или меньше, то она должна преуспеть в спасброске Силы или будет отброшена на расстояние до 15 футов от вас.",2024-11-19 14:25:31 UTC,2024-11-19 14:24:22 UTC,2024-11-19 14:25:31 UTC
16,Тактическая оценка,Tactical Assessment,"**Тактическая оценка**

Когда вы совершаете проверку Интеллекта (История или Анализ) или Мудрости (Проницательность), то вы можете потратить одну кость превосходства и добавить эту кость к проверке",2024-11-19 14:25:31 UTC,2024-11-19 14:24:02 UTC,2024-11-19 14:25:31 UTC
15,Сплочение,Rally,"**Сплочение**

Вы можете в свой ход бонусным действием потратить одну кость превосходства, чтобы поддержать решимость одного из ваших компаньонов. Если вы это совершаете, то выберите компаньона в пределах 30 футов который может видеть или слышать вас. Это существо получает временные хиты, равные броску кости превосходства + половина ваших уровней воина (с округлением вниз).",2024-11-19 14:25:31 UTC,2024-11-19 14:23:42 UTC,2024-11-19 14:25:31 UTC
14,Провоцирующая атака,Goading Attack,"**Провоцирующая атака**

Когда вы попадаете по существу броском атаки, то вы можете потратить одну кость превосходства, чтобы попытаться спровоцировать противника атаковать вас. Вы добавляете кость превосходства к броску урона этой атаки, а цель должна совершить спасбросок Мудрости. При провале цель до конца вашего следующего хода совершает с помехой броски атаки по всем целям, кроме вас.",2024-11-19 14:25:31 UTC,2024-11-19 14:23:06 UTC,2024-11-19 14:25:31 UTC
13,Подмена,Bait and Switch,"**Подмена**

Когда вы в свой ход находитесь в пределах 5 футов от существа, то вы можете потратить одну кость превосходства и поменяться местами с этим существом, при условии, что вы тратите не менее 5 футов перемещения, а существо согласно и не имеет состояния недееспособный. Это перемещение не вызывает провоцированные атаки.

Бросьте кость превосходства. До начала вашего следующего хода вы или другое существо (по вашему выбору) получаете бонус к КД, равный выпавшему числу.",2024-11-19 14:25:31 UTC,2024-11-19 14:22:35 UTC,2024-11-19 14:25:31 UTC
12,Парирование,Parry,"**Парирование**

Если другое существо наносит вам урон рукопашной атакой, то вы можете реакцией потратить одну кость превосходства, чтобы уменьшить урон на величину, равную броску вашей кости превосходства + ваш модификатор Силы или Ловкости (по вашему выбору).",2024-11-19 14:25:31 UTC,2024-11-19 14:22:14 UTC,2024-11-19 14:25:31 UTC
11,Отвлекающий удар,Distracting Strike,"**Отвлекающий удар**

Если вы попадаете по существу атакой оружием, то вы можете потратить одну кость превосходства, чтобы отвлечь существо. Вы добавляете кость превосходства к броску урона этой атаки. Следующий бросок атаки по этой цели любым существом кроме вас совершается с преимуществом, если атака совершается до начала вашего следующего хода.",2024-11-19 14:25:31 UTC,2024-11-19 14:21:57 UTC,2024-11-19 14:25:31 UTC
