Title,Original Title,Category,Description,Weight,Price
Алхимический огонь,Alchemist’s Fire,Алхимия,"Когда вы совершаете действие атака, то вы можете
заменить 1 из ваших атак на бросок фляги с алхимиче-
ским огнём. Выберите 1 существо или объект, который
вы видите в пределах 20 футов от себя. Цель должна
преуспеть в спасброске Ловкости (Сл. 8 + ваш моди-
фикатор Ловкости + ваш бонус мастерства), иначе она
получит 1к4 урона огнём и начнёт гореть (см. глосса-
рий правил).",1 фнт.,50 зм
Бечёвка,String,Мобильность,"Бечёвка длиной 10 футов. Вы можете завязать узел
на ней, используя действие использование.",—,1 см
Блок и лебёдка,Block and Tackle,Мобильность,"Блок и лебёдка позволяют поднимать груз, в 4 раза
превышающий ваш обычный лимит.",5 фнт.,1 зм
Боеприпасы,Ammunition,Боеприпас,"Боеприпасы требуются для оружия, которое имеет
свойство боеприпасы. Описание оружия указыва-
ет тип боеприпасов, используемых с этим оружием.
Таблица «Боеприпасы» перечисляет различные типы
боеприпасов и количество штук, которое вы получаете
при покупке. В таблице также указан предмет, кото-
рый обычно используется для хранения каждого типа
боеприпасов; хранилище должно быть приобретено
отдельно.

Виды боеприпасов: Стрелы, Болты, Пули, Снаряды, Иглы.",Вар.,Вар.
"Стрелы, 20 шт.",Arrow,Боеприпас,Для хранения нужен Колчан,1 фнт.,1 зм
"Болты, 20 шт.",Bolt,Боеприпас,Для хранения нужен Футляр,1½ фнт.,1 зм
"Пули для огнестрельного, 10 шт.",Firearm Bullet,Боеприпас,Для хранения нужна Сумка,2 фнт.,3 зм
"Снаряды для пращи, 20 шт.",Sling Bullet,Боеприпас,Для хранения нужна Сумка,1½ фнт.,4 мм
"Иглы для трубки, 50 шт.",Needle,Боеприпас,Для хранения нужна Сумка,1 фнт.,1 зм
Бочка,Barrel,Хранение,"Бочка вмещает до 40 галлонов жидкости или до 4
кубических футов сухих продуктов.",70 фнт.,2 зм
Бумага,Paper,Канцелярия,"1 лист бумаги может вместить около 250 слов, напи-
санных от руки.",—,2 см
Бурдюк (полный),Waterskin,Выживание,"Бурдюк вмещает до 4 пинт. Если вы не пьёте доста-
точно количество воды, то рискуете получить обезво-
живание",5 фнт.,2 см
"Бутылка, стеклянная","Bottle, Glass",Алхимия,"Стеклянная бутылка вмещает до 1,5 пинт.",2 фнт.,2 зм
Ведро,Bucket,Хранение,"Ведро вмещает объём до 0,5 кубического фута.",2 фнт.,5 мм
