Id,Title,Original title,Description,Published at,Created at,Updated at
10,Тифлинг,"","**Описание**
Тифлинги либо рождаются на Нижних планах, либо имеют предков исчадий, происходящих оттуда. Тифлинг связан кровью с дьяволом, демоном или другим злобным существом. Эта связь с Нижними планами — зловещее наследие тифлинга, которое обещает силу, но не влияет на моральные устои тифлинга.

Тифлинг сам решает, принять или отвергнуть своё зловещее наследие. Описания трёх наследий приведены ниже.

**Бездны**
Энтропия Бездны, хаос Пандемониума и отчаяние Карцери влекут тифлингов, у которых есть наследие Бездны. Рога, шерсть, клыки и необычные запахи — обычные физические черты таких тифлингов, большинство из которых имеют в своих жилах кровь демонов.

**Хтоническое**
Тифлинги с хтоническим наследием ощущают не только притяжение Карцери, но и жадность Геенны и мрак Аида. Некоторые из этих тифлингов выглядят как живые мертвецы. Другие обладают неземной красотой суккуба или имеют физические черты, общие с ночной каргой, юголотом или другим зловещим существом с Нейтрально-Злым происхождением.

**Инфернальное**
Инфернальное наследие связывает тифлингов не только с Геенной, но и с Девятью Преисподними и яростными полями битв Ахерона. Рога, шипы, хвосты, золотые глаза и слабый запах серы или дыма — обычные физические черты таких тифлингов, большинство из которых ведут своё происхождение от дьяволов.

**Особенности тифлинга**
**Тип существа:** Гуманоид
**Размер:** Средний (около 4-7 футов в высоту) или Маленький (около 3-4 футов в высоту), выбирается при выборе этого вида
**Скорость:** 30 футов

Как тифлинг, вы обладаете следующими особыми умениями:
**Тёмное Зрение.** У вас есть тёмное зрение в пределах 60 футов.

**Происхождение Исчадия.** Вы принадлежите к родословной, которая наделяет вас сверхъестественными способностями. Выберите происхождение из таблицы происхождений исчадия. Вы получаете бонус 1 уровня этой родословной.

Когда вы достигаете 3 и 5 уровня персонажа, то вы изучаете заклинание более высокого уровня, как указано в таблице. Это заклинание всегда подготовлено у вас. Вы можете один раз произнести его без ячейки заклинаний и вы восстанавливаете эту возможность после завершения Продолжительного Отдыха. Вы также можете произносить это заклинание, используя любые доступные вам ячейки заклинаний соответствующего уровня.

Интеллект, Мудрость или Харизма является вашей заклинательной характеристикой для заклинаний, которые вы используете с помощью этой особенности (выберите характеристику при выборе родословной).

**Потустороннее Присутствие.** Вы знаете заговор Фокусы. Когда вы используете его с этой особенностью, заклинание использует ту же характеристику, что и для вашего свойства Происхождение Исчадия.

**Происхождение Исчадия**
1. Бездны - Ур 1 - У вас есть Сопротивление к урону ядом. Вы также знаете заговор Ядовитые Брызги.
2. Бездны - Ур 3 - Луч Болезни
3. Бездны - Ур 5 - Удержание Личности
4. Хтоническое - Ур 1 - У вас есть Сопротивление к урону некротической энергией. Вы также знаете заговор Леденящее Прикосновение.
5. Хтоническое - Ур 3 - Псевдожизнь
6. Хтоническое - Ур 5 - Луч Слабости
7. Инфернальное - Ур 1 - У вас есть Сопротивление к урону огнём. Вы также знаете заговор Огненный Снаряд
8. Инфернальное - Ур 3 - Адское Возмездие
9. Инфернальное - Ур 5 - Тьма",2024-09-26 17:02:53 UTC,2024-09-26 17:00:25 UTC,2024-09-26 17:02:53 UTC
9,Орк,"","**Описание**
Орки связывают свое происхождение с Груумшем, могущественным богом, который бродил по бескрайним просторам Материального Плана. Груумш наделил своих детей дарами, чтобы они могли путешествовать по огромным равнинам, обширным пещерам и бурным морям и противостоять монстрам, скрывающимся там. Даже когда они начинают поклоняться другим богам, то орки сохраняют дары Груумша: выносливость, решимость и способность видеть в темноте. 

В среднем орки высокие и широкоплечие. У них серая кожа, заостренные уши и выдающиеся нижние клыки, похожие на маленькие бивни. Молодым оркам в некоторых мирах рассказывают истории о великих путешествиях и испытаниях их предков. Вдохновленные этими историями, многие орки задаются вопросом, когда Груумш призовет их совершить героические подвиги древности и окажутся ли они достойны его благосклонности. Другие орки предпочитают оставить старые истории в прошлом и найти свой собственный путь.

**Особенности орка**
**Тип существа:** Гуманоид
**Размер:** Средний (около 6-7 футов в высоту)
**Скорость:** 30 футов

Как орк, вы обладаете следующими особыми умениями:
**Всплеск Адреналина.** Вы можете совершить Бонусным Действием действие Рывок. Когда вы это делаете, вы получаете временные хиты в количестве, равном вашему Бонусу Мастерства. Вы можете использовать эту черту количество раз, равное вашему Бонусу Мастерства, и восстанавливаете все потраченные использования после Короткого или Продолжительного Отдыха. Тёмное Зрение. У вас есть тёмное зрение в пределах 120 футов.
**Непоколибимая Стойкость.** Если ваши хиты опустились до нуля, но вы при этом не убиты, ваши хиты вместо этого опускаются до 1. Вы не можете использовать эту способность снова, пока не завершите Продолжительный Отдых.",2024-09-26 17:02:53 UTC,2024-09-26 16:54:09 UTC,2024-09-26 17:02:53 UTC
8,Человек,"","**Описание**
Встречающиеся по всей мультивселенной, люди столь же разнообразны, сколь многочисленны, и они стремятся достичь как можно больше за отведенные им годы. Их амбиции и изобретательность вызывают восхищение, уважение и страх во многих мирах.
Люди разнообразны внешне, как и жители Земли, и у них множество богов. Ученые спорят о происхождении человечества, но одно из самых ранних известных скоплений людей, как говорят, произошло в Сигиле — торообразном городе в центре мультивселенной, месте, где родился Общий язык. Оттуда люди могли распространиться по всем уголкам мультивселенной, неся с собой космополитизм Города Дверей.

**Особенности человека**
**Тип существа:** Гуманоид
**Размер:** Средний (около 4-7 футов) или Малый (около 2-4 футов), выбирается при выборе этого вида
**Скорость:** 30 футов
Как человек, вы обладаете следующими особыми умениями:
**Находчивость.** Вы получаете Героическое Вдохновение каждый раз после Продолжительного Отдыха.
**Умелость.** Вы получаете владение одним навыком на ваш выбор.
**Универсальность.** Вы получаете черту Происхождения на ваш выбор (см. главу 5). Рекомендуется выбрать черту «Умелый».",2024-09-26 17:02:53 UTC,2024-09-26 16:53:31 UTC,2024-09-26 17:02:53 UTC
7,Полурослик,"","**Описание**
Полурослики находятся под покровительством богов, ценящих жизнь, дом и семейный очаг, поэтому они стремятся к идиллическим местам, где семья и община помогают формировать их жизнь. Тем не менее, многие полурослики обладают смелым и авантюрным духом, который ведет их в путешествия, давая возможность исследовать большой мир и находить новых друзей на этом пути. Их размер, сопоставимый с размером человеческого ребенка, позволяет им незаметно проходить через толпу и пробираться через узкие пространства.
Любой, кто проводил время рядом с полуросликами, особенно с полуросликами-приключенцами, наверняка становился свидетелем легендарного «везения полуросликов» в действии. Когда полурослик оказывается в смертельной опасности, то невидимая сила, кажется, вмешивается и помогает ему. Многие полурослики верят в силу удачи и приписывают этот необычный дар одному или нескольким своим благожелательным богам, включая Йондаллу, Брандобариса и Чармалейн. Возможно, этот дар также способствует их долгожительству (около 150 лет).
Сообщества полуросликов бывают самых разных видов. На каждый укромный уголок, спрятанный в нетронутой части мира, найдется преступный синдикат, как, например, клан Боромар из сеттинга Эберрон, или территориальная мафия полуросликов, как в сеттинге Дарк Сан.
Полурослики, которые предпочитают жить под землей, иногда называются коренастыми или стойкими полуросликами. Кочевые полурослики, а также те, кто живет среди людей и других высоких народов, иногда называются легконогими или высокорослыми полуросликами.

**Особенности Полуросликов**
**Тип существа:** Гуманоид
**Размер:** Малый (около 2-3 футов в высоту)
**Скорость:** 30 футов

Как полурослик, вы обладаете следующими особыми умениями:
**Храбрый.** Вы имеете преимущество на спасброски, которые вы совершаете, чтобы избежать или прекратить состояние Испуганный.
**Проворство Полуросликов.** Вы можете двигаться через пространство любого существа, размер которого больше вашего, но не можете остановиться в том же пространстве.
**Везучий.** Когда вы выбрасываете 1 на кости при выполнении D20 Теста, то вы можете перебросить кость и должны использовать новый результат.
**Естественная Скрытность.** Вы можете совершить действие Засада, даже если вы скрыты только существом, которое хотя бы на один размер больше вас.",2024-09-26 17:02:53 UTC,2024-09-26 16:52:28 UTC,2024-09-26 17:02:53 UTC
6,Голиаф,"","**Описание**
Громадные и внушительные, голиафы — это далекие потомки великанов. Каждый голиаф носит в себе дары первых великанов — дары, которые проявляются в различных сверхъестественных благословениях, включая способность быстро расти и временно достигать размеров своих гигантских предков.
Голиафы имеют физические характеристики, напоминающие их предков, великанов. Например, некоторые голиафы выглядят как каменные великаны, в то время как другие напоминают огненных великанов. Независимо от того, с какими великанами они связаны, голиафы проложили свой собственный путь в мультивселенной (свободные от внутренних конфликтов, которые веками терзали род великанов) и стремятся к вершинам, превышающим те, что достигли их предки.

**Особенности голиафа**
**Тип существа:** Гуманоид
**Размер:** Средний (около 7-8 футов в высоту)
**Скорость:** 35 футов
	
Как голиаф, вы обладаете следующими особыми умениями:
**Великанье Происхождение.** Вы являетесь потомком великанов. Выберите одно из следующих благословений — сверхъестественный дар вашего происхождения; вы можете использовать выбранное благословение количество раз, равное вашему Бонусу Мастерства, и восстанавливаете все использованные применения после завершения Продолжительного Отдыха:
**Облачный Шаг (Облачный великан).** Бонусным Действием вы можете магически телепортироваться на расстояние до 30 футов в незанятое пространство, которое вы видите.
**Огненный Ожог (Огненный великан).** Когда вы попадаете по цели броском атаки и наносите ей урон, то вы можете дополнительно нанести этой цели 1к10 урона огнём.
**Морозный Холод (Ледяной великан).** Когда вы попадаете по цели броском атаки и наносите ей урон, то вы можете дополнительно нанести этой цели 1к6 урона холодом и снизить её скорость на 10 футов до начала вашего следующего хода.
**Холмовой Толчок (Холмовой великан).** Когда вы попадаете по существу размера большай или меньше броском атаки и наносит ему урон, то вы можете наложить на эту цель состояние Лежать ничком.
**Выносливость Камня (Каменный великан).** Когда вы получаете урон, то вы можете использовать свою реакцию, чтобы бросить 1к12. Добавьте ваш модификатор Телосложения к выпавшему числу и уменьшите полученный урон на результат.
**Штормовой Гром (Штормовой великан).** Когда вы получаете урон от существа, находящегося в пределах 60 футов от вас, то вы можете использовать реакцию, чтобы нанести этому существу 1d8 урона звуком.
**Большая Форма.** Начиная с 5 уровня, вы можете бонусным действием увеличить свой размер до большого, если находитесь в достаточно большом пространстве. Это превращение длится 10 минут или до тех пор, пока вы не прекратите его (не требует действия). На этот период вы получаете преимущество на проверки Силы, и ваша скорость увеличивается на 10 футов. После использования этой особенности вы не можете использовать её снова, пока не завершите Продолжительный Отдых.
**Мощное Телосложение.** Вы получаете преимущество на спасброски, чтобы избавиться от состояния Схваченеый. Вы также считаетесь существом на один размер больше при определении вашей грузоподъемности.",2024-09-26 17:02:53 UTC,2024-09-26 16:50:46 UTC,2024-09-26 17:02:53 UTC
5,Гном,"","**Описание**
Гномы – это волшебные существа, созданные богами изобретений, иллюзий и подземной жизни. Первые гномы редко встречались с другими народами из-за своей скрытной натуры и склонности жить в лесах и норах. Несмотря на малый рост, они компенсировали это умом, сбивая хищников с толку ловушками и лабиринтами туннелей. Они также научились магии от богов, таких как Гарл Златоблеск, Бэрван Дикий Странник и Баравар Теневой Плащ, которые навещали их в облике смертных. Эта магия в конечном итоге привела к возникновению родословных лесных и скальных гномов. Гномы – это миниатюрные существа с большими глазами и заостренными ушами, которые живут около 425 лет. Многие гномы любят ощущение крыши над головой, даже если эта «крыша» – не более чем шляпа.

**Особенности гномов**
**Тип существа**: Гуманоид
**Размер:** Маленький (около 3-4 футов в высоту)
**Скорость:** 30 футов

Как гном, вы обладаете следующими особыми умениями:
**Тёмное Зрение.** У вас есть тёмное зрение в пределах 60 футов.
**Гномья Хитрость.** Вы получаете преимущество на спасброски Интеллекта, Мудрости и Харизмы.
**Гномье Происхождение.** Вы принадлежите к родословной, которая наделяет вас сверхъестественными способностями. Выберите один из следующих вариантов; вне зависимости от вашего выбора, Интеллект, Мудрость или Харизма является вашей заклинательной характеристикой для заклинаний, которые вы используете с помощью этой особенности (выберите характеристику при выборе родословной):
**Лесной Гном.** Вы знаете заговор Малая Иллюзия. Вы также всегда имеете подготовленное заклинание Разговор с Животными. Вы можете накладывать его без траты ячейки заклинаний количество раз, равное вашему Бонусу Мастерства, и восстанавливаете все использованные применения после завершения Продолжительного Отдыха. Вы также можете использовать любые ячейки заклинаний, чтобы накладывать это заклинание.
**Скальный Гном.** Вы знаете заговоры Починка и Фокусы. Кроме того, вы можете потратить 10 минут на наложение заклинания Фокусы, чтобы создать крошечное механическое устройство (КД 5, 1 хит), такое как игрушка, зажигалка или музыкальная шкатулка. При создании устройства вы определяете его функцию, выбирая один из эффектов заклинания Фокусы; устройство производит этот эффект каждый раз, когда вы или другое существо выполняет Бонусное Действие, чтобы активировать его касанием. Если выбранный эффект имеет опции, вы выбираете одну из них для устройства при его создании. Например, если вы выбрали эффект зажигания-угасания, то вы определяете, будет ли устройство зажигать или тушить огонь; устройство не может делать и то, и другое. Вы можете иметь до трех таких устройств одновременно, и каждое из них разваливается через 8 часов после создания или когда вы разбираете его прикосновением с помощью действия Использовать.",2024-09-26 17:02:53 UTC,2024-09-26 16:47:52 UTC,2024-09-26 17:02:53 UTC
4,Эльф,"","**Описание**
Окружающая среда постепенно трансформирует эльфов, если они живут в ней более тысячи лет, и наделяет их определённой магией. Дроу, высшие эльфы и лесные эльфы — примеры эльфов, подвергшихся таким изменениям.

**Дроу**
Дроу обычно обитают в Подземье и были им изменены. Некоторые дроу, как отдельные индивиды, так и целые сообщества, избегают Подземья, но всё же сохраняют его магию. Например, в сеттинге Эберрон дроу живут в тропических лесах и циклопических руинах на континенте Ксен’дрик.
**Высшие эльфы**
Высшие эльфы пропитаны магией пересечения между Сттраной Фей и Материальным Планом. В некоторых мирах высшие эльфы называют себя другими именами. Например, в сеттинге Забытых Королевств они называют себя солнечными или лунными эльфами, в сеттинге Драгонленс — Сильванести и Квалинести, а в сеттинге Эберрон — Аэрени.
**Лесные эльфы**
Лесные эльфы несут в себе магию первобытных лесов. Они известны под многими другими именами: дикие эльфы, зелёные эльфы и лесные эльфы. Гругачи — это скрытные лесные эльфы сеттинга Грейхок, а Кагонести и Терннадал — лесные эльфы сеттингов Драгонленс и Эберрон соответственно.

**Особенности Эльфа**
**Тип существа:** Гуманоид
**Размер:** Средний (около 5-6 футов в высоту)
**Скорость:** 30 футов

Как эльф, вы обладаете следующими особыми умениями:
**Тёмное Зрение.** У вас есть тёмное зрение в пределах 60 футов.
**Эльфийское Происходение.** Вы принадлежите к родословной, которая наделяет вас сверхъестественными способностями. Выберите происхождение из таблицы эльфийских происхождений.
Вы получаете бонус 1 уровня этой родословной. Когда вы достигаете 3 и 5 уровня персонажа, то вы изучаете заклинание более высокого уровня, как указано в таблице. У вас всегда подготовлено это заклинание. Вы можете один раз наложить его не тратя ячейку заклинаний и вы восстанавливаете эту возможность после завершения продолжительного отдыха. Вы также можете наложить это заклинание, используя любые доступные вам ячейки заклинаний соответствующего уровня.
Интеллект, Мудрость или Харизма является вашей заклинательной характеристикой для заклинаний, которые вы используете с помощью этой особенности (выберите характеристику при выборе родословной).
**Наследие Фей.** Вы получаете Преимущество на спасброски, которые совершаете, чтобы избежать или прекратить состояние Очарованный Очарованный.
**Обостённые Чувства.** Вы получаете владение навыком Проницательность, Восприятие или Выживание.
**Транс.** Вам не нужно спать, и магия не может усыпить вас. Вы можете завершить Продолжительный Отдых за 4 часа, если проводите эти часы в состоянии транса, во время которого сохраняете сознание.

**Эльфийские родословные**
1. Дроу - Ур 1 - Дальность вашего тёмного зрения увеличивается до 120 футов. Вы также знаете заговор Пляшушие Огоньки.
2. Дроу - Ур 3 - Огонь Фей
3. Дроу - Ур 5 - Тьма
4. Высший - Ур 1 - Вы знаете заговор Фокусы. Когда вы завершаете Продолжительный Отдых, то вы можете заменить этот заговор на другой из списка заклинаний волшебника.
5. Высший - Ур 3 - Обнаружение магии
6. Высший - Ур 5 - Туманный Шаг
7. Лесной - Ур 1 - Ваша скорость увеличивается до 35 футов. Вы также знаете заговор Искусство Друидов.
8. Лесной - Ур 3 - Скороход
9. Лесной - Ур 5 - Бесследное передвижение",2024-09-26 17:02:53 UTC,2024-09-26 16:21:49 UTC,2024-09-26 17:02:53 UTC
3,Дварф,"","**Описание**
Дварфы были созданы из земли в древние времена божеством кузни. В разных мирах его называют по-разному — Морадин, Реоркс и другие. Этот бог наделил дварфов способностью к работе с камнем и металлом, а также склонностью к жизни под землей. Он также сделал их стойкими, как горы, с продолжительностью жизни около 350 лет.
Коренастые и часто бородатые, первые дварфы вырезали города и крепости в горных склонах и под землей. Их древнейшие легенды рассказывают о сражениях с монстрами, обитающими на вершинах гор и в Подземье, будь то исполинские гиганты или подземные чудовища. Вдохновленные этими историями, дварфы любой культуры часто поют о доблестных подвигах, особенно о том, как малые побеждают великих.
На некоторых мирах мультивселенной первые поселения дварфов были построены в холмах или горах, и семьи, ведущие своё происхождение от этих поселений, называют себя холмовыми дварфами или горными соответственно. В сеттингах Грейхок и Драконленс существуют такие сообщества.

**Особенности дварфов**
**Тип существа:** Гуманоид
**Размер:** Средний (около 4-5 футов в высоту)
**Скорость:** 30 футов
Как дварф, вы обладаете следующими особыми умениями:
**Тёмное Зрение.** У вас есть тёмное зрение в пределах 120 футов.
**Дварфийская Стойкость.** Вы обладаете сопротивлением к урону ядом. Кроме того, вы получаете преимущество на спасброски, которые вы совершаете, чтобы избежать или прекратить состояние Отравлен.
**Дварфийская Выдержка.** Ваш максимальный запас хитов увеличивается на 1 и дополнительно на 1 каждый раз, когда вы получаете новый уровень.
**Знание Камня.** Бонусным действием вы можете получить Чувство вибрации в пределах 60 футов на 10 минут. Вы должны находиться на каменной поверхности или касаться её, чтобы пользоваться этим Чувством вибрации. Камень может быть как природным, так и обработанным.
Вы можете использовать это Бонусное действие количество раз, равное вашему Бонусу Мастерства, и вы восстанавливаете все израсходованные использования после Продолжительного Отдыха.",2024-09-26 17:02:53 UTC,2024-09-26 16:18:29 UTC,2024-09-26 17:02:53 UTC
2,Драконорожденный,"","**Описание**
Предки драконорожденных вылупились из яиц хроматических и металлических драконов. Согласно одной легенде, эти яйца были благословлены драконьими богами Бахамутом и Тиамат, которые хотели населить мультивселенную существами, созданными по их образу и подобию. Другая история утверждает, что драконы создали первых драконорожденных без благословения богов. Как бы то ни было, драконорожденные обрели себе дома на Материальном плане. Драконорожденные выглядят как бескрылые, двуногие драконы, покрытые чешуей, с яркими глазами, крепким телосложением и рогами на голове, а их окраска и другие особенности напоминают их драконьих предков.

**Особенности Драконорожденного**
**Тип существа:** Гуманоид
**Размер:** Средний (около 5-7 футов ростом)
**Скорость:** 30 футов
Как драконорожденный, вы обладаете следующими особыми умениями:
**Наследие Драконов.** Ваша родословная восходит к драконьему прародителю. Выберите тип дракона из таблицы «Драконьи Предки». Ваш выбор влияет на умения Дыхание дракона и Сопротивление к урону, а также на ваш внешний вид.

Драконьи Предки
1. *Вид дракона* - *Тип урона*
2. Черный - Кислота
3. Золотой - Огонь
4. Синий - Молния
5. Зеленый - Яд
6. Латунный - Огонь
7. Красный - Огонь
8. Бронозовый - Молния
9. Серебрянный - Холод
10. Медный - Кислота
11. Белый - Холод

**Дыхание Дракона.** Когда вы совершаете действие Атака в свой ход, то вы можете заменить одну из ваших атак на выдох магической энергии в виде либо 15-футового конуса, либо 30-футовой линии шириной 5 футов (форму выбираете каждый раз). Все существа в этой области должны совершить спасбросок Ловкости (Сл 8 + ваш модификатор Телосложения + ваш Бонус Мастерства). При провале существо получает 1к10 урона типа, определяемого вашей чертой Наследие Драконов. При успешном спасброске существо получает половину урона. Этот урон увеличивается на 1к10, когда вы достигаете 5-го уровня (2к10), 11-го уровня (3к10) и 17-го уровня (4к10).
Вы можете использовать это Дыхание дракона количество раз, равное вашему Бонусу Мастерства, и восстанавливаете все потраченные использования после Продолжительного Отдыха.
**Сопротивление Урону.** У вас есть сопротивление к типу урона, определяемому вашем умением Наследие Драконов.
**Тёмное Зрение.** У вас есть тёмное зрение в пределах 60 футов.
**Драконий Полёт.** Когда вы достигаете 5-го уровня, то вы можете направить драконью магию, чтобы получить временную способность к полёту. Бонусным действием вы можете вырастить на спине призрачные крылья, которые существуют в течение 10 минут или до тех пор, пока вы не уберёте их (не требует действия) или не получите состояние недееспособен. В течение этого времени ваша скорость полёта равна вашей обычной скорости. Ваши крылья выглядят так же, как энергия вашего Дыхания дракона. После использования этого свойства вы не можете использовать его снова до завершения продолжительного отдыха.
",2024-09-26 17:02:53 UTC,2024-09-26 16:16:26 UTC,2024-09-26 17:04:40 UTC
1,Аасимар,"","**Описание**
Аасимары — это смертные, которые несут искру Верхних Планов в своих душах. Будь то потомки ангельских существ или те, кто был наделён небесной силой, они могут разжечь эту искру, чтобы принести свет, исцеление и небесную ярость. Аасимары могут появляться в любой популяции смертных. Они похожи на своих родителей, но живут до 160 лет и имеют черты, намекающие на их небесное происхождение, такие как металлические веснушки, светящиеся глаза, нимб или цвет кожи, как у ангелов (серебряный, опалово-зелёный или медно-красный). Эти черты начинают проявляться постепенно, становясь очевидными, когда аасимар учится полностью раскрывать свою небесную природу.

**Особенности Аасимара**
**Тип существа:** Гуманоид
**Размер:** Средний (около 4–7 футов в высоту)или Маленький (около 2–4 футов в высоту), выбирается при создании персонажа.
**Скорость:** 30 футов

Как Аасимар, вы обладаете следующими особыми умениями:
**Небесное Сопротивление.** У Вас есть сопротивление урону некротической энергией и урону излучением.
**Темное Зрение.** У вас есть тёмное зрение в пределах 60 футов.
**Исцеляющие Руки.** Действием магия вы можете коснуться существа и бросить к4 в количестве, равном вашему бонусу мастерства. Существо восстанавливает количество хитов, равное сумме броска. Вы не сможете вновь воспользоваться этой способностью пока не окончите продолжительный отдых.
**Носитель Света.** Вы знаете заговор Свет, для него вашей заклинательной характеристикой является Харизма.
**Откровение Небес.** Когда вы достигаете 3 уровня персонажа, вы можете трансформироваться бонусным действием, используя одну из следующих опций (выбирайте опцию во время трансформации). Превращение длится 1 минуту или до тех пор, пока вы не завершите его (действие не требуется). После превращения вы не можете сделать это снова до окончания продолжительного отдыха.
Один раз в каждый из ваших ходов, до окончания превращения, вы можете нанести дополнительный урон одной цели, когда наносите ей урон атакой или заклинанием. Дополнительный урон равен вашему бонусу мастерства, и тип этого урона либо некротический для Савана Смерти, либо излучением для Небесных Крыльев и Сияющей Души.

Вот варианты превращений:
1. **Небесные Крылья.** Пара спектральных крыльев временно вырастают у вас за спиной. До окончания превращения ваша скорость полета равна вашей обычной скорости передвижения.
1. **Сияющая Душа.** Ослепительный свет временно излучается из ваших глаз и рта. На протяжении действия вы излучаете яркий свет в радиусе 10 футов и тусклый свет в радиусе ещё 10 футов, и в конце каждого вашего хода каждое существо в радиусе 10 футов от вас получает урон излучением, равный вашему Бонусу мастерства.
1. **Саван Смерти.** Ваши глаза на короткое время превращаются в озёра тьмы и временно из спины вырастают призрачные крылья. Существа в радиусе 10 футов от вас, кроме ваших союзников, должны успешно пройти спасбросок Харизмы (Сл = 8 + ваш модификатор Харизмы + ваш Бонус Мастерства), иначе они впадают в состояние Испуганный до конца вашего следующего хода.",2024-09-26 17:02:53 UTC,2024-09-26 16:11:59 UTC,2024-09-26 17:02:53 UTC
