Id,Title,Description,Published at,Created at,Updated at,Original title,Requested count
398,Палящая кара,"**Палящая кара**
*1 уровень, воплощение*
*(Паладин)*
**Время накладывания:** Бонусное действие, которое вы совершаете сразу после попадания по существу рукопашным оружием или безоружным ударом.
**Дистанция:** На себя
**Компоненты:** Вербальный
**Длительность:** 1 минута

Когда вы попадаете по цели, то она получает от атаки дополнительные 1к6 урона огнём. В начале каждого своего хода до окончания действия заклинания цель получает 1к6 урона огнём и затем совершает спасбросок Телосложения.

При провале заклинание продолжается. При успешном спасброске действие заклинания за канчивается.

**Использование более высокой ячейки.** Каждый урон увеличивается на 1к6 за каждый уровень ячейки заклинания выше первого.

<ol>123</ol>",2024-09-17 13:19:23 UTC,2024-09-17 13:03:11 UTC,2024-09-20 09:30:59 UTC,Searing Smite,0
397,Одурманивание,"**Одурманивание**
*8 уровень, очарование*
*(Бард, волшебник, друид, колдун)*
**Время накладывания:** Действие
**Дистанция:** 150 футов
**Компоненты:** Вербальный, Соматический, Материальный (кольцо для ключей без ключей)
**Длительность:** Мгновенная

Вы поражаете разум существа, которое видите в пределах дистанции. Цель совершает спасбросок Интеллекта. При провале цель получает 10к12 урона психической энергией и не может накладывать заклинания или совершать действие магия. В конце каждого 30-го дня цель повторяет спасбросок, завершив эффект при успехе. Эффект также может быть снят с помощью заклинаний Высшее восстановление, Полное исцеление или Исполенине желаний.

При успешном спасброске цель получает только половину урона.",2024-09-17 13:55:31 UTC,2024-09-17 13:01:20 UTC,2024-09-20 07:33:07 UTC,Befuddlement,0
396,Щит,"**Щит**
*1 уровень, ограждение*
*(Чародей, волшебник)*
**Время накладывания:** Реакция, которую вы совершаете, когда по вам попадают броском атаки или вы становитесь целью заклинания Волшебная стрела
**Дистанция:** На себя
**Компоненты:** Вербальный, Соматический
**Длительность:** 1 раунд

Незаметный барьер из магической силы защищает вас. До начала вашего следующего хода у вас есть бонус +5 к КД, в том числе против атаки, которая спровоцировала эту реакцию, и вы не получаете урон от заклинания Волшебная стрела.",2024-09-17 13:57:18 UTC,2024-09-17 12:43:40 UTC,2024-09-20 07:33:06 UTC,Shield,0
393,Уход за умирающим,"**Уход за умирающим**
*Некромантия, заговор*
*(Жрец, друид)*
**Время накладывания:** 1 действие
**Дистанция:** 15 футов
**Компоненты:** Вербальный, Соматический
**Длительность:** Мгновенная

Выберите существо в пределах досягаемости, у которого 0 хитов и которое не мертво. Существо стабилизируется.

**Улучшение заговора.** Дистанция увеличивается вдвое, когда вы достигаете 5 (30 футов), 11 (60 футов) и 17 (120 футов) уровней.",2024-09-16 19:25:47 UTC,2024-09-16 19:24:39 UTC,2024-09-20 07:33:06 UTC,Spare the Dying,0
392,Аура святости,"**Аура святости**
*8 уровень, ограждение*
*(Жрец)*
**Время накладывания:** 1 действие
**Дистанция:** На себя
**Компоненты:** Вербальный, Соматический, Материальный (реликварий стоимостью 1 000+ зм)
**Длительность:** Концентрация, до 1 минуты

На длительность заклинания от вас исходит аура эманаией в 30-футовом радиусе. Находясь в этой ауре, существа по вашему выбору получают преимущество на все спасброски, а другие существа получают помеху на броски атаки по ним. Кроме того, если исчадие или нежить попадают по существу под эффектом заклинания рукопашной атакой, то нападающий должен пройти спасбросок Телосложения, иначе получит состояние ослеплённый до конца своего следующего хода.",2024-09-17 13:58:55 UTC,2024-09-16 14:10:21 UTC,2024-09-20 07:33:06 UTC,Holy Aura,0
391,Аура живучести,"**Аура живучести**
*3 уровень, воплощение*
*(Жрец, паладин)*
**Время накладывания:** Действие
**Дистанция:** На себя
**Компоненты:** Вербальный
**Длительность:** Концентрация, до 1 минуты

От вас исходит аура эмананацией на 30 футов во время длительности заклинания. Когда вы накладываете это заклинание и в начале каждого вашего хода, пока она действует, вы можете восстановить 2к6 хитов одному существу, находящемуся в её пределах.",2024-09-17 14:00:25 UTC,2024-09-16 13:24:04 UTC,2024-09-20 11:15:06 UTC,Aura of Vitality,1
390,Проекция в астрал,"**Проекция в астрал**
*9 уровень, некромантия (Волшебник, жрец, колдун) ***Время накладывания:** 1 час
**Дистанция:** 10 футов
**Компоненты:** Вербальный, Соматический, Материальный (для каждого цели заклинания требуется по одному гиацинту стоимостью 1’000+ зм и по одному слитку серебра стоимостью 100+ зм; все компоненты расходуются заклинанием)
**Длительность:** Пока не будет развеяно

Вы и до восьми согласных существ в пределах дальности заклинания проецируете свои астральные тела на Астральный план (заклинание немедленно оканчивается, если вы уже находитесь на этом плане). Оставленное тело остаётся в анабиозе; оно получает состояние бессознательный, не нуждается в пище или воздухе и не стареет.

Астральная форма цели напоминает её тело почти во всех отношениях, воспроизводя её статблок и снаряжение. Единственным отличием является серебряная нить, исходящая у вас между лопаток и торчащая наружу, становясь невидимой через 1 фут. Эта нить связывает цель с материальным телом. Если нить перерезать (что происходит только в том случае, если эффект это предусматривает), то тело цели и её астральная форма умирают.

Астральная форма цели может перемещаться по Астральному плану. В тот момент, когда астральная форма покидает этот план, то тело цели и снаряжение переносятся по серебряной нити, позволяя вернуться в своё тело при входе на другой план.

Любой урон или другие эффекты, применяемые к астральной форме, не оказывают воздействия на тело цели, и наоборот. Если тело или астральная форма цели теряют все хиты, то заклинание заканчивается для этой цели. Заклинание заканчивается для всех целей, если вы совершаете действие магия, чтобы развеять его.

Когда заклинание заканчивается для цели, которая не мертва, то она вновь появляется в своём теле и выходит из анабиоза.",2024-09-17 06:51:24 UTC,2024-09-16 13:21:29 UTC,2024-09-20 07:33:06 UTC,Astral Projection,0
389,Антипатия/симпатия,"**Антипатия/симпатия**
*8 уровень, очарование*
*(Бард, волшебник, друид)*
**Время накладывания:** 1 час
**Дистанция:** 60 футов
**Компоненты:** Вербальный, Соматический, Материальный (смесь уксуса и мёда)
**Длительность:** 10 дней

Когда вы накладываете это заклинание, то выберите, будет ли оно создавать антипатию или симпатию, и выберите одну цель, которая является существом или объектом размером не больше огромного. Затем укажите вид существа, например, красных драконов, гоблинов или вампиров.

Существо выбранного вида совершает спасбросок Мудрости, когда оказывается в пределах 120 футов от цели. Ваш выбор антипатии или симпатии определяет, что произойдет с существом, если оно провалит этот спасбросок:

**Антипатия.** Существо получает состояние испуганный. Испуганное существо должно использовать своё перемещение в свой ход, чтобы как можно быстрее отдалиться от цели, двигаясь по самому безопасному маршруту.

**Симпатия.** Существо получает состояние очарованный. Очарованное существо должно использовать своё перемещение в каждый свой ход, чтобы как можно ближе приблизиться к цели, двигаясь по самому безопасному маршруту. Если существо находится в пределах 5 футов от цели, то оно не может добровольно отойти от неё. Если цель наносит урон очарованному существу, то это существо может совершить спасбросок Мудрости, чтобы прекратить действие эффекта, как описано ниже.

Окончание эффекта. Если испуганное или очарованное существо заканчивает свой ход на расстоянии более 120 футов от цели, то оно совершает спасбросок Мудрости. При успешном спасброске существо больше не подвержено воздействию цели. Существо, успешно прошедшее спасбросок против этого эффекта, становится невосприимчивым к нему на 1 минуту, после чего снова может подвергнуться воздействию.",2024-09-17 14:02:53 UTC,2024-09-16 13:17:36 UTC,2024-09-20 07:33:06 UTC,Antipathy/Sympathy,0
387,Изменение тяготения,"**Изменение тяготения**
*7 уровень, преобразование*
*(Друид, волшебник, чародей)*
**Время накладывания:** 1 действие
**Дистанция:** 100 футов
**Компоненты:** Вербальный, Соматический, Материальный (магнит и железные опилки)
**Длительность:** Концентрация, до 1 минуты

Это заклинание обращает гравитацию в в цилиндре с радиусом 50 футов и высотой 100 футов с центром в точке в пределах дистанции. Все существа и объекты в этой области, не закреплённые на земле, падают вверх и достигают вершины цилиндра. Существо может совершить спасбросок Ловкости, чтобы схватиться за неподвижный объект, до которого оно может дотянуться, и таким образом избежать падения вверх. 

Если на пути этого подъёма вверх встречается потолок или закреплённый объект, то существа и объекты сталкиваются с ним, как если бы они падали вниз. Если затронутое существо или объект достигает вершины цилиндра, не ударившись ни обо что, то оно зависает там на время длительности заклинания. Когда заклинание заканчивается, затронутые объекты и существа падают вниз.",2024-09-17 12:33:33 UTC,2024-09-16 12:19:37 UTC,2024-09-20 07:33:06 UTC,Reverse Gravity,0
386,Создание прохода,"**Создание прохода**
*5 уровень, преобразование*
*(Волшебник)*
**Время накладывания:** 1 действие
**Дистанция:** 30 футов
**Компоненты:** Вербальный, Соматический, Материальный (щепотка семян кунжута)
**Длительность:** 1 час

Проход появляется в точке, которую вы видите на деревянной, оштукатуренной или каменной поверхности (например, на стене, потолке или полу) в пределах дистанции и существует в течение длительности заклинания. Вы выбираете размеры прохода: до 5 футов в ширину, 8 футов в высоту и 20 футов в глубину. Проход не дестабилизирует окружающую его конструкцию. Когда проход исчезает, то любые существа или объекты, оставшиеся в созданном заклинанием проходе, безопасно перемещаются в ближайшее незанятое пространство к пове",2024-09-17 12:35:08 UTC,2024-09-16 12:19:26 UTC,2024-09-20 07:33:06 UTC,Passwall,0
