Id,Title,Original title,Description,Published at,Created at,Updated at
25,вор,"","**Воровские инструменты** (25 зм)

**Характеристика:** Ловкость
**Вес:** 1 фнт.
**Использование:** Взломать замок (Сл 15) или обезвредить ловушку (Сл 15)",2024-09-27 16:28:37 UTC,2024-09-27 16:28:24 UTC,2024-09-27 16:28:37 UTC
24,отравитель,"","**Набор отравителя** (50 зм)

**Характеристика:** Интеллект
**Вес:** 2 фнт.
**Использование:** Обнаружить отравленный предмет (Сл 10)
**Создание:** Простой яд",2024-09-27 16:28:38 UTC,2024-09-27 16:28:00 UTC,2024-09-27 16:28:38 UTC
23,навигатор,"","**Инструменты навигатора** (25 зм)

**Характеристика:** Мудрость
**Вес:** 2 фнт.
**Использование:** Проложить курс (Сл 10) или определить местоположение по звездам (Сл 15)",2024-09-27 16:28:38 UTC,2024-09-27 16:27:30 UTC,2024-09-27 16:28:38 UTC
22,Музыка,"","**Характеристика:** Харизма

**Вес:** вар.
**Использование:** Сыграть известную мелодию (Сл 10) или импровизировать песню (Сл 15)
**Варианты:** Волынка (30 зм, 6 фнт.), барабан (6 зм, 3 фнт.), цимбалы (25 зм, 10 фнт.), флейта (2 зм, 1 фнт.), рожок (3 зм, 2 фнт.), лютня (35 зм, 2 фнт.), лира (30 зм, 2 фнт.), свирель (12 зм, 2 фнт.), шалмей (2 зм, 1 фнт.), виола (30 зм, 1 фнт.)",2024-09-27 16:28:38 UTC,2024-09-27 16:27:09 UTC,2024-09-27 16:28:38 UTC
21,травника,"","**Набор травника** (5 зм)

**Характеристика:** Интеллект
**Вес:** 3 фнт.
**Использование:** Определить растение (Сл 10)
**Создание:** Противоядие, свеча, комплект целителя, зелье исцеления",2024-09-27 16:28:38 UTC,2024-09-27 16:26:41 UTC,2024-09-27 16:28:38 UTC
20,Игры,"","**Игровой набор** (варьируется)

**Характеристика:** Мудрость
**Вес:** —
**Использование:** Определить, мошенничает ли кто-то (Сл 10) или выиграть игру (Сл 20)
**Варианты:** Игральный кости (1 см), драконьи шахматы (1 зм), игральные карты (5 см), ставка трёх драконов (1 зм)",2024-09-27 16:28:38 UTC,2024-09-27 16:26:20 UTC,2024-09-27 16:28:38 UTC
19,фальсификации,"","**Набор для фальсификации** (15 зм)

**Характеристика:** Ловкость
**Вес:** 5 фнт.
**Использование:** Подделать до 10 слов чьего-либо почерка (Сл 15) или создать дубликат восковой печати (Сл 20)",2024-09-27 16:28:38 UTC,2024-09-27 16:25:49 UTC,2024-09-27 16:28:38 UTC
18,Маскировка,"","**Набор для маскировки** (25 зм)

**Характеристика:** Харизма
**Вес:** 3 фнт.
**Использование:** Нанести грим (Сл 10)
**Создание:** Костюм",2024-09-27 16:28:38 UTC,2024-09-27 16:25:24 UTC,2024-09-27 16:28:38 UTC
17,резчика,"","**Инструменты резчика по дереву** 

**Характеристика:** Ловкость
**Цена:** (1 зм)
**Вес:** 5 фнт.
**Использование:** Вырезать узор на дереве (Сл 10)
**Создание:** Дубинка, палица, посох, дальнобойное оружие (кроме пистоля, мушкета и пращи), магическая фокусировка, стрелы, болты, друидическая фокусировка, перьевая ручка, иглы",2024-09-27 16:28:38 UTC,2024-09-27 16:24:51 UTC,2024-09-27 16:28:38 UTC
16,ткача,"","**Инструменты ткача** 

**Характеристика:** Ловкость
**Цена:** (1 зм)
**Вес:** 5 фнт.
**Использование:** Залатать дырку на одежде (Сл 10) или вышить крошечный узор (Сл 10)
**Создание:** Стёганый доспех, корзина, спальный мешок, одеяло, парадная одежда, сеть, мантия, верёвка, мешочек, нить, палатка, одежда путешественника",2024-09-27 16:28:38 UTC,2024-09-27 16:24:06 UTC,2024-09-27 16:28:38 UTC
